11	11
10	10
4	4
5	6
5	5
1	2
5	6
14	15
28	28
27	27
4	4
1	1
6	6
4	4
1	1
1	2
2	2
6	6
8	8
1	2
16	16
3	4
14	14
6	7
1	2
1	2
4	5
1	1
12	12
11	11
1	2
1	2
8	8
9	9
1	1
1	1
15	15
12	12
1	2
9	10
7	7
7	7
5	5
5	8
4	4
13	13
8	8
1	2
14	16
20	20
6	6
6	6
8	9
7	8
4	4
1	1
7	7
6	6
6	6
8	8
3	4
2	3
7	8
3	3
12	12
4	5
7	7
6	6
2	2
4	5
7	7
5	6
3	3
5	5
13	13
13	13
5	6
11	12
21	22
17	18
10	10
1	1
5	5
1	2
1	2
1	1
19	19
2	2
8	9
4	4
6	6
5	5
12	12
11	11
14	14
5	6
11	12
10	11
2	3
8	8
14	14
21	22
6	6
9	10
6	6
6	6
1	2
8	8
8	8
8	8
8	9
7	8
13	13
11	11
4	4
1	1
5	5
5	5
5	5
5	6
15	15
9	9
8	8
7	7
6	6
5	5
4	5
18	18
2	3
2	3
12	13
14	14
13	13
10	10
7	7
7	7
15	15
14	14
10	11
12	12
2	2
2	3
10	10
10	10
6	7
3	4
8	8
6	6
17	18
18	18
1	2
3	3
15	15
1	1
5	5
7	7
20	20
19	19
3	3
3	3
22	23
27	27
4	4
7	8
11	12
5	5
5	6
5	6
4	5
16	17
1	1
6	7
5	6
3	3
1	2
5	6
6	6
4	5
8	8
10	10
7	7
6	6
15	16
5	6
2	3
2	3
6	6
5	5
12	12
4	5
6	7
2	3
3	4
3	4
6	7
4	4
3	3
3	3
5	5
3	3
4	5
4	5
8	9
10	11
9	9
10	11
6	6
1	2
14	15
11	12
11	11
2	3
5	6
4	4
10	10
9	9
14	14
6	6
5	6
4	5
14	14
10	10
12	13
6	6
3	3
5	5
2	3
8	8
12	12
6	7
4	4
13	13
2	3
2	3
18	18
18	18
4	5
6	7
14	14
10	10
10	11
14	14
8	8
3	3
9	9
2	3
9	10
8	9
3	3
4	5
1	1
1	2
8	9
1	2
4	4
4	4
10	10
6	7
15	15
1	2
7	7
1	2
9	9
5	5
5	5
1	2
8	8
7	7
10	10
9	9
7	8
2	2
15	16
13	14
6	7
5	5
6	6
5	5
3	3
1	2
18	19
14	14
2	4
1	3
10	10
1	1
24	24
23	23
12	13
4	4
1	1
12	12
5	6
3	4
3	4
3	4
12	13
11	12
2	3
5	6
1	1
1	1
1	1
8	8
3	3
3	3
14	14
12	12
4	4
5	8
2	2
1	1
1	1
5	5
8	8
1	1
14	14
2	2
1	2
1	2
8	9
8	9
1	2
1	2
7	7
6	6
10	11
10	11
1	2
1	2
8	8
8	8
11	11
10	10
5	5
5	5
5	5
3	4
4	5
2	3
5	5
3	3
9	9
4	4
13	13
3	3
19	19
17	17
8	8
1	2
5	5
1	1
13	13
13	13
7	7
7	7
1	2
1	2
6	6
5	5
15	16
3	3
4	4
4	4
23	23
22	22
4	4
1	2
4	5
1	2
6	7
3	4
2	3
7	8
9	9
1	2
10	11
13	14
2	2
2	2
4	4
3	3
7	7
7	7
8	8
1	2
11	11
1	2
4	4
3	3
1	2
1	2
11	12
11	12
5	5
6	7
8	8
3	4
5	5
9	9
4	5
4	5
6	6
1	2
17	18
10	10
8	8
7	7
1	1
1	1
4	4
3	3
6	6
6	6
2	3
6	7
1	1
4	5
14	14
13	13
6	6
3	3
15	15
14	14
19	19
17	17
10	11
3	5
19	19
18	18
11	11
8	8
10	11
6	7
4	4
4	4
1	2
3	3
14	15
1	1
5	6
9	9
1	1
18	19
22	22
17	18
11	11
10	10
1	2
1	2
12	13
11	12
8	9
4	5
8	8
1	1
9	9
7	8
7	8
14	15
12	14
11	13
1	2
1	2
10	11
7	7
8	8
12	12
14	14
11	11
3	4
3	4
7	7
4	4
9	9
2	2
1	2
8	9
9	10
5	7
3	3
3	3
4	5
4	5
7	7
1	1
2	2
3	4
2	2
4	5
8	8
4	5
7	7
7	7
7	7
3	3
1	1
1	1
7	7
2	3
4	5
9	9
6	7
1	2
16	16
4	4
10	10
8	8
11	11
10	11
7	7
7	7
10	10
1	2
4	4
7	8
2	3
1	1
12	12
1	2
11	11
10	10
8	8
9	10
5	5
4	4
20	20
19	19
8	9
8	9
6	6
2	3
5	5
2	3
14	15
13	14
3	4
2	2
5	5
1	2
10	10
5	5
5	5
14	15
4	5
4	5
6	7
4	5
3	3
8	9
11	11
2	3
8	8
7	7
17	17
7	7
6	6
1	1
13	14
16	16
11	11
3	4
2	3
5	5
4	5
4	5
5	5
5	5
4	4
1	2
8	8
8	8
3	4
2	2
6	7
6	6
5	5
1	1
7	8
2	4
4	4
6	8
2	2
1	1
9	9
9	9
4	4
3	3
5	5
3	3
5	5
1	2
13	13
12	12
8	8
8	9
13	13
1	1
2	3
6	7
7	7
6	6
1	1
1	1
2	3
4	4
6	6
1	1
3	3
3	3
6	6
6	6
14	15
2	2
1	2
1	2
1	2
1	2
4	5
6	7
14	14
13	13
6	8
3	4
1	2
7	7
5	5
2	2
7	8
4	5
9	9
2	2
9	9
9	9
2	3
5	5
9	9
4	5
18	18
9	10
5	5
1	1
5	6
7	7
5	5
5	5
13	13
5	6
4	4
3	3
4	4
1	1
8	8
7	7
5	6
5	6
6	7
4	5
5	6
1	1
6	6
6	7
15	16
10	10
14	14
2	3
3	4
3	4
3	3
11	11
1	2
1	2
11	11
5	6
4	4
8	8
1	2
1	2
9	9
5	6
1	2
19	20
6	7
15	15
1	1
7	8
9	9
9	11
11	12
11	12
6	6
6	6
9	9
7	8
3	3
2	2
9	9
1	2
1	1
1	1
1	2
1	2
12	12
15	15
7	7
7	7
7	7
3	4
5	5
2	2
3	4
3	4
10	10
3	4
6	7
1	2
1	1
5	5
8	9
9	9
4	4
4	4
4	4
2	2
4	4
4	4
11	11
10	10
4	4
1	2
7	7
2	2
10	10
4	4
4	4
5	5
4	5
1	2
7	7
6	6
9	9
1	2
6	6
6	6
7	8
6	6
9	9
2	3
9	9
15	15
7	8
7	8
2	2
1	1
18	20
17	19
3	3
3	3
1	1
1	2
8	8
4	5
4	5
1	1
10	10
1	1
10	12
4	5
19	19
11	11
5	5
5	6
7	8
18	18
8	8
8	8
4	4
6	6
11	12
10	11
6	7
6	7
2	3
1	1
5	5
5	5
9	9
8	8
15	15
13	14
5	5
3	4
11	12
3	4
6	7
5	5
6	7
1	1
2	2
18	19
10	11
9	10
13	13
9	9
2	3
5	6
5	6
4	5
3	3
11	12
11	11
8	8
3	3
1	2
5	5
4	4
3	3
1	1
15	15
8	8
8	9
14	15
16	16
13	13
4	5
9	9
9	9
8	8
11	11
7	8
3	4
2	3
13	13
12	12
5	6
5	6
16	17
17	17
6	6
3	5
7	7
3	3
14	16
13	15
11	11
2	2
3	3
4	5
6	7
20	20
1	1
3	3
1	2
6	6
10	10
2	2
8	8
5	5
6	6
7	7
4	5
3	3
11	13
10	12
5	5
1	2
2	3
3	3
6	6
1	1
10	10
10	10
5	5
1	2
3	3
3	3
7	7
7	7
12	12
1	2
6	6
6	6
5	5
5	5
13	13
12	12
5	6
3	4
4	4
7	7
10	11
10	11
2	3
1	1
3	3
1	2
6	6
7	7
6	6
1	2
6	6
9	11
6	7
4	5
5	5
3	3
3	4
3	4
5	6
3	4
1	2
1	2
4	5
3	4
20	21
20	20
4	5
12	12
8	9
7	8
4	4
9	10
1	2
5	6
6	6
6	6
5	5
3	4
15	16
12	13
4	4
3	3
8	8
1	2
3	4
9	9
2	2
8	9
4	5
1	1
11	11
4	4
5	6
5	6
11	11
1	3
12	12
9	10
18	19
20	20
3	3
2	2
2	2
1	1
1	2
3	3
12	13
9	9
9	9
1	1
12	13
6	7
11	11
10	10
3	4
3	4
11	11
6	6
1	2
1	2
20	21
4	5
7	8
6	7
6	7
5	5
6	6
11	12
15	16
16	16
1	1
1	2
7	8
2	3
14	15
13	14
3	3
9	9
17	18
16	17
3	3
3	3
5	5
5	5
4	4
4	5
13	14
7	8
